DISCLAIMER: This report does not constitute legal or tax advice.
Abra makes no guarantees regarding the accuracy of this report and will not offer advice for your specific tax circumstances as laws and regulations change frequently and vary from country to country.
By using this report you disclaim Abra from any responsibility for the accuracy or adequacy of any positions taken by you in your tax reporting obligations. Please consult a professional tax advisor.

If you have multiple Abra wallets you will need to request reports for each wallet separately. Contact support@abra.com if you need help.
Transactions with implicit exchange currency conversions are split into multiple rows.
Your home currency is derived based on your provided phone number.

Please note there may be small rounding errors.

User ID: 34343434
Name: John Doe
Email: john@doe.com
Home Currency: USD

Transaction date (UTC),Transaction ID,Transaction type,Description,Product,Gross Quantity,Network Fees,Net Quantity,Rate (USD),Net Amount (USD)
2018-05-22 19:21:28,5AUMNAV,Inbound Transfer,Deposit to LTC address,LTC,1,0,1,1 LTC = 129.70832 USD,129.71
2018-05-22 21:23:48,YQ1GQWM,Sell,Asset exchange: sell LTC,LTC,1,0,1,1 LTC = 127.8274923 USD,127.83
2018-05-22 21:23:48,YQ1GQWM,Buy,Asset exchange: buy DGB,DGB,3249.8909,0,3249.8909,1 DGB = 0.03874286 USD,125.91
2018-06-01 11:22:58,1CD8BKQ,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-06-01 12:31:10,HCT49XW,Sell,Asset exchange: sell USD,USD,200,0,200,1 USD = 1 USD,200.00
2018-06-01 12:31:10,HCT49XW,Buy,Asset exchange: buy DGB,DGB,6007.68,0,6007.68,1 DGB = 0.03279135 USD,197.00
2018-06-16 12:08:54,TPXYZBJ,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
2018-06-16 13:45:47,83935LR,Sell,Asset exchange: sell USD,USD,200,0,200,1 USD = 1 USD,200.00
2018-06-16 13:45:47,83935LR,Buy,Asset exchange: buy DGB,DGB,7403.68,0,7403.68,1 DGB = 0.0266084 USD,197.00
2018-06-17 13:48:43,L9YETGL,Inbound Transfer,AMEX card deposit,USD,208,8,200,1 USD = 1 USD,200.00
